Site,sampleID,pop,thallus,wetmass,drymass,wmtodm,water,afdm,organiccontent,percentafdm
"Sandy Point, RI",RIS_02,RIS,2,1.7216,0.2344,7.344709898,1.4872,0.1061,0.1283,45.26450512
"Sandy Point, RI",RIS_03,RIS,3,4.4193,0.4932,8.960462287,3.9261,0.1997,0.2935,40.49067315
"Sandy Point, RI",RIS_06,RIS,6,1.9213,0.2336,8.224743151,1.6877,0.1121,0.1215,47.9880137
"Sandy Point, RI",RIS_10,RIS,10,2.5941,0.305,8.505245902,2.2891,0.1369,0.1681,44.8852459
"Sandy Point, RI",RIS_15B,RIS,15B,1.0851,0.1381,7.857349747,0.947,0.0606,0.0775,43.88124547
"Sandy Point, RI",RIS_30,RIS,30,1.0111,0.1233,8.200324412,0.8878,0.0583,0.065,47.28304947
"Sandy Point, RI",RIS_39,RIS,39,8.0265,0.8715,9.209982788,7.155,0.3654,0.5061,41.92771084
"Sandy Point, RI",RIS_48,RIS,48,2.2081,0.2523,8.751882679,1.9558,0.1163,0.136,46.09591756
"Sandy Point, RI",RIS_72,RIS,72,5.1842,0.6158,8.418642416,4.5684,0.2594,0.3564,42.12406626
"Sandy Point, RI",RIS_78,RIS,78,3.1466,0.357,8.814005602,2.7896,0.1588,0.1982,44.48179272
"Sandy Point, RI",RIS_95,RIS,95,6.8904,0.8029,8.581890646,6.0875,0.299,0.5039,37.24000498
"Sandy Point, RI",RIS_98,RIS,98,7.7856,0.8318,9.359942294,6.9538,0.3355,0.4963,40.33421496
"Tybee Cut, Savannah, GA",SAV_11,SAV,11,2.3135,0.431,5.36774942,1.8825,0.137,0.294,31.78654292
"Tybee Cut, Savannah, GA",SAV_18,SAV,18,1.5832,0.229,6.913537118,1.3542,0.0882,0.1408,38.51528384
"Tybee Cut, Savannah, GA",SAV_24,SAV,24,1.7289,0.3067,5.637104663,1.4222,0.1049,0.2018,34.20280404
"Tybee Cut, Savannah, GA",SAV_26,SAV,26,3.244,0.5178,6.264967169,2.7262,0.174,0.3438,33.603708
"Tybee Cut, Savannah, GA",SAV_43,SAV,43,4.8195,0.5694,8.464172813,4.2501,0.2206,0.3488,38.742536
"Tybee Cut, Savannah, GA",SAV_48,SAV,48,2.087,0.2948,7.079375848,1.7922,0.1142,0.1806,38.73812754
"Tybee Cut, Savannah, GA",SAV_55,SAV,55,0.9607,0.1409,6.818310859,0.8198,0.0544,0.0865,38.60894251
"Tybee Cut, Savannah, GA",SAV_57,SAV,57,2.4384,0.332,7.344578313,2.1064,0.1187,0.2133,35.75301205
"Tybee Cut, Savannah, GA",SAV_70,SAV,70,1.7715,0.2437,7.269183422,1.5278,0.0897,0.154,36.80755027
"Tybee Cut, Savannah, GA",SAV_77,SAV,77,0.8036,0.1271,6.322580645,0.6765,0.0495,0.0776,38.94571204
"Point Wilson, WA",PTW_11,PTW,11,25.4391,2.6988,9.426078257,22.7403,1.0118,1.687,37.49073662
"Point Wilson, WA",PTW_12,PTW,12,3.0034,0.4242,7.080150872,2.5792,0.1639,0.2603,38.63743517
"Point Wilson, WA",PTW_25,PTW,25,9.8261,1.1211,8.764695388,8.705,0.3832,0.7379,34.18071537
"Point Wilson, WA",PTW_28,PTW,28,8.6776,0.9767,8.884611447,7.7009,0.4347,0.542,44.50701341
"Point Wilson, WA",PTW_36,PTW,36,4.6035,0.5353,8.599850551,4.0682,0.2076,0.3277,38.78199141
"Point Wilson, WA",PTW_39,PTW,39,4.5329,0.605,7.492396694,3.9279,0.1907,0.4143,31.52066116
"Point Wilson, WA",PTW_54,PTW,54,11.1387,1.358,8.202282769,9.7807,0.4441,0.9139,32.70250368
"Point Wilson, WA",PTW_56,PTW,56,4.6008,0.5321,8.64649502,4.0687,0.217,0.3151,40.78180793
"Point Wilson, WA",PTW_59,PTW,59,15.285,1.6085,9.502642213,13.6765,0.694,0.9145,43.145788
"Point Wilson, WA",PTW_69,PTW,69,9.3882,1.0572,8.880249716,8.331,0.3937,0.6635,37.23987893
"Eld's Inlet, WA",ELD_17,ELD,17,3.4222,0.4727,7.239686905,2.9495,0.1591,0.3136,33.65771102
"Eld's Inlet, WA",ELD_19,ELD,19,12.7032,1.4751,8.611755135,11.2281,0.562,0.9131,38.09911192
"Eld's Inlet, WA",ELD_26,ELD,26,7.9372,1.0127,7.837661696,6.9245,0.3859,0.6268,38.10605313
"Eld's Inlet, WA",ELD_36,ELD,36,7.9495,1.9658,4.043900702,5.9837,1.3868,0.579,70.54634246
"Eld's Inlet, WA",ELD_39,ELD,39,4.9578,0.6549,7.570316079,4.3029,0.288,0.3669,43.97617957
"Eld's Inlet, WA",ELD_44,ELD,44,2.1323,0.2764,7.714544139,1.8559,0.1235,0.1529,44.68162084
"Eld's Inlet, WA",ELD_53,ELD,53,2.0847,0.2561,8.140179617,1.8286,0.0335,0.2226,13.0808278
"Eld's Inlet, WA",ELD_62,ELD,62,2.1585,0.333,6.481981982,1.8255,0.1353,0.1977,40.63063063
"Eld's Inlet, WA",ELD_69,ELD,69,1.4911,0.2164,6.890480591,1.2747,0.0867,0.1297,40.06469501
"Eld's Inlet, WA",ELD_70,ELD,70,5.5928,0.7864,7.11190234,4.8064,0.314,0.4724,39.92878942
"Lighthouse Point, CT",LHP_14,LHP,14,3.6765,0.4118,8.92787761,3.2647,0.1566,0.2552,38.02816901
"Lighthouse Point, CT",LHP_47,LHP,47,3.4906,0.3389,10.29979345,3.1517,0.1518,0.1871,44.79197403
"Lighthouse Point, CT",LHP_63,LHP,63,5.0425,0.5825,8.656652361,4.46,0.2274,0.3551,39.03862661
"Lighthouse Point, CT",LHP_68,LHP,68,15.1537,1.2927,11.72251876,13.861,0.5396,0.7531,41.7420902
"Lighthouse Point, CT",LHP_75,LHP,75,1.534,0.1676,9.15274463,1.3664,0.0786,0.089,46.8973747
"Lighthouse Point, CT",LHP_79,LHP,79,2.4804,0.2486,9.977473854,2.2318,0.1127,0.1359,45.33386967
"Lighthouse Point, CT",LHP_81,LHP,81,2.4125,0.2656,9.083207831,2.1469,0.1347,0.1309,50.71536145
"Lighthouse Point, CT",LHP_82,LHP,82,2.0836,0.1684,12.37292162,1.9152,0.0423,0.1261,25.11876485
"Lighthouse Point, CT",LHP_83,LHP,83,6.807,0.6273,10.85126734,6.1797,0.2652,0.3621,42.27642276
"Lighthouse Point, CT",LHP_90,LHP,90,8.3673,0.8088,10.34532641,7.5585,0.3734,0.4354,46.16716123
"Lighthouse Point, CT",LHP_94,LHP,94,6.3906,0.6855,9.322538293,5.7051,0.32,0.3655,46.68125456
Shimabira,SHI_01,SHI,1,2.8865,0.4208,6.859553232,2.4657,0.1653,0.2555,39.28231939
Shimabira,SHI_07,SHI,7,1.212,0.2064,5.872093023,1.0056,0.0691,0.1373,33.47868217
Shimabira,SHI_08,SHI,8,2.5973,0.403,6.444913151,2.1943,0.1773,0.2257,43.99503722
Shimabira,SHI_13,SHI,13,0.9477,0.1456,6.508928571,0.8021,0.0563,0.0893,38.66758242
Shimabira,SHI_17,SHI,17,1.4764,0.2526,5.844813935,1.2238,0.0955,0.1571,37.80680918
Shimabira,SHI_22,SHI,22,0.7125,0.1215,5.864197531,0.591,0.0402,0.0813,33.08641975
Shimabira,SHI_23,SHI,23,4.1475,0.5499,7.542280415,3.5976,0.2143,0.3356,38.97072195
Shimabira,SHI_27,SHI,27,0.5758,0.0992,5.804435484,0.4766,0.0344,0.0648,34.67741935
Shimabira,SHI_28,SHI,28,2.1527,0.324,6.644135802,1.8287,0.1218,0.2022,37.59259259
Shimabira,SHI_30,SHI,30,0.4541,0.089,5.102247191,0.3651,0.0372,0.0518,41.79775281
Shimabira,SHI_39,SHI,39,1.5065,0.2266,6.648278906,1.2799,0.0835,0.1431,36.84907326
Shimabira,SHI_41,SHI,41,1.2435,0.1885,6.596816976,1.055,0.0684,0.1201,36.28647215
Shimabira,SHI_42,SHI,42,0.6955,0.118,5.894067797,0.5775,0.0416,0.0764,35.25423729
Shimabira,SHI_48,SHI,48,13.2039,1.6691,7.910790246,11.5348,0.7339,0.9352,43.96980409
Shimabira,SHI_49,SHI,49,3.9247,0.5477,7.165784188,3.377,0.1947,0.353,35.54865802
Shimabira,SHI_50,SHI,50,7.8087,1.0878,7.178433536,6.7209,0.4836,0.6042,44.4567016
Shimabira,SHI_51,SHI,51,2.806,0.4824,5.816749585,2.3236,0.1724,0.31,35.73797678
