NatNon,Continent,subregion,Population,field_site_code_2015,site_code_for_ms,lat,long,salinityppt,JanSST,JulySST,GenotypicRichness,propdip,purediploid,clonality,SiteA,SiteB,propattach,propdrift,Collection.date,Collection.waterTemp,
Introduced,NorthAmericaEast,SoutheastUS,TybeeSavannah,sav,tyb,31.950832,-80.984364,28,14.07997662,29.02778734,0.467,1,y,0.5,mudflat,mudflat,0,1,7/9/15,31,
Introduced,NorthAmericaEast,SoutheastUS,ElliotsBeach,ebp,par,32.317566,-80.703792,34,13.71722553,28.91722516,0.282,1,y,0.6875,mudflat,mudflat,0,1,9/2/15,18.27,
Introduced,NorthAmericaEast,SoutheastUS,FortJohnson,cfj,fjn,32.751149,-79.901191,29,14.13507303,28.45208151,0.734,0.9764,n,0.2168,mudflat,mudflat,0.058823529,0.941176471,7/10/15,31.72,
Introduced,NorthAmericaWest,California,ElkhornSlough,ehs,elk,36.5034,-121.3513,38,12.90302024,15.46727236,0.917,0.556818182,n,0.918367347,mudflat,mudflatmix,0.77,0.23,NA,NA,
Introduced,Europe,Iberia,Faro,far,far,37.027824,-8.022425,38,16.59018393,19.89057557,0.42,0.9375,n,0.467,mudflat,mudflat,0,1,7/6/15,24.21,
Introduced,NorthAmericaEast,virginia,Hillcrest,osh,osh,37.284019,-75.409702,32,7.750701087,24.71420701,0.6,1,y,0.38,mudflat,mudflat,0,1,7/16/15,25.68,
Introduced,NorthAmericaEast,virginia,WillisWharf,wwf,red,37.455851,-75.818625,33,6.064952422,24.92455355,0.6725,1,y,0.391,mudflat,mudflat,0,1,8/3/15,24.5,
Introduced,NorthAmericaEast,virginia,UpperHaulOver,uho,wac,37.619458,-75.669593,35,6.098999855,24.90370914,0.746,1,y,0.34483,mudflat,mudflat,0,1,8/2/15,32.98,
Introduced,NorthAmericaEast,virginia,LittleTomsCove,tom,ltc,37.888,-75.3352,33,6.852903077,24.53342688,0.966,1,y,0.033,mudflat,mudflat,0,1,NA,NA,
Introduced,NorthAmericaWest,california,TomalesBay,tmb,tmb,38.179647,-122.9093435,36,11.49042156,13.99858532,1,0.87,n,0,mudflat,mudflatmix,0.42,0.58,8/13/15,17.95,
