"Continent","Population.code","Population","substrate","Latitude","Longitude","n.Breakage","n.Architecture.Length","n.Architecture.SurfaceArea","n.Architecture.Diameter","n.Architecture.Volume"
NA,"shb","Shimabira","mudflat",31.706818,130.271885,15,10,10,10,10
NA,"hik","Hikayama","mudflat",31.7321,130.671644,13,6,6,6,6
NA,"kae","Kaeda","mudflat",31.817214,131.447808,19,10,10,10,10
NA,"tyb","TybeeSavannah","mudflat",31.950832,-80.984364,19,10,10,10,10
NA,"par","ElliotsBeach","mudflat",32.317566,-80.703792,20,10,10,10,10
NA,"fjn","FortJohnson","mudflat",32.751149,-79.901191,19,3,8,3,3
NA,"shk","Shikanoshima","rockyshore",33.66313,130.2962,8,1,10,1,NA
NA,"waj","Wajiro","rockyshore",33.673563,130.426959,7,8,8,8,8
NA,"ftr","Futtsu","mudflat",35.321766,139.834452,16,8,10,8,9
NA,"hay","HayaseRiver","rockyshore",35.615327,135.906486,20,7,10,7,7
NA,"nag","Choshi","rockyshore",35.701004,140.8633327,21,1,10,1,1
NA,"elk","ElkhornSlough","mudflat",36.5034,-121.3513,NA,3,10,2,3
NA,"far","Faro","mudflat",37.027824,-8.022425,9,3,11,3,3
NA,"osh","Hillcrest","mudflat",37.284019,-75.409702,19,1,9,1,1
NA,"red","WillisWharf","mudflat",37.455851,-75.818625,20,NA,10,NA,NA
NA,"wac","UpperHaulOver","mudflat",37.619458,-75.669593,17,NA,10,NA,NA
NA,"ltc","LittleTomsCove","mudflat",37.888,-75.3352,NA,3,10,4,4
NA,"tmb","TomalesBay","mudflat",38.179647,-122.9093435,20,3,10,3,3
NA,"bob","BodegaBay","mudflat",38.317774,-123.055447,23,3,10,1,1
NA,"sou","Soukanzan","mudflat",38.352839,141.059694,19,9,10,9,9
NA,"mng","Mangokuura","mudflat",38.418195,141.413173,27,4,9,4,4
NA,"mou","MouneBay","mudflat",38.901194,141.622668,15,8,10,8,8
NA,"gaf","Aveiro","mudflat",40.637814,-8.665855,15,NA,10,NA,NA
NA,"nyc","CrabMeadowNY","rockyshore",40.928615,-73.32685,20,2,10,2,2
NA,"lhp","LighthousePointCT","rockyshore",41.248826,-72.904226,16,NA,11,NA,NA
NA,"ris","SandyPointRI","rockyshore",41.661794,-71.409895,19,4,10,2,4
NA,"shr","Shinori","rockyshore",41.764864,140.818178,12,6,7,6,6
NA,"usu","Usu","mudflat",42.515497,140.78618,17,5,5,5,5
NA,"akk","Chikarakotan","mudflat",43.02513,144.879657,17,7,7,7,7
NA,"grb","GreatBayNH","mudflat",43.092076,-70.864714,19,1,10,1,1
NA,"gal","ACoruna","mudflat",43.328288,-8.37892,18,1,10,1,1
NA,"fut","Futatsuiwa","rockyshore",44.04931667,144.2579,21,10,10,10,10
NA,"eld","EldsInlet","mudflat",47.084893,-122.978715,20,2,10,1,1
NA,"ptw","PtWilson","mudflat",47.210495,-122.842044,19,NA,10,NA,NA
NA,"fpa","PontLAbbe","mudflat",47.866948,-4.215873,14,NA,10,NA,NA
NA,"flf","LeFaou","mudflat",48.296004,-4.182105,11,4,10,4,4
NA,"fdm","Dinan","mudflat",48.514599,-1.9698,14,1,12,1,1
NA,"pol","StPoldeLeon","mudflat",48.675775,-3.971613,13,1,10,1,1
NA,"pmo","PortMoody","mudflat",49.279999,-122.85169,19,NA,10,NA,NA
NA,"bom","Bournemouth","mudflat",50.4339,1.46025,19,NA,10,NA,NA
NA,"dhd","Heikendorf","rockyshore",54.363825,10.193674,16,4,11,4,4
NA,"hei","Heiligenhafen","mudflat",54.380225,10.983212,19,2,10,2,2
NA,"nor","Nordstrand","mudflat",54.486315,8.812739,20,5,7,5,5
NA,"man","Mando","mudflat",55.2883,8.539,NA,5,10,5,5
